"","event_type","xg","secondary_type","event_goalie_id","goal"
"1650","SHOT",NA,"backhand",8474596,0
"1651","SHOT",NA,"wrist",8478492,0
"1657","SHOT",NA,"wrist",8478492,0
"1669","SHOT",NA,"wrist",8474596,0
"1671","SHOT",NA,"wrist",8478492,0
"1672","GOAL",NA,"wrist",NA,1
"1677","SHOT",0.162088438868523,"backhand",8482821,0
"1679","SHOT",0.188853815197945,"backhand",8482821,0
"1680","SHOT",0.0146173797547817,"wrist",8482821,0
"1682","SHOT",0.00202503940090537,"wrist",8476999,0
"1688","SHOT",0.000561970518901944,"snap",8482821,0
"1694","SHOT",0.0382825843989849,"backhand",8482821,0
"1699","SHOT",0.00412573339417577,"wrist",8482821,0
"1704","SHOT",0.000594574317801744,"snap",8476999,0
"1706","SHOT",0.00103825167752802,"wrist",8476999,0
"1707","GOAL",0.266339510679245,"wrap-around",8476999,1
"1715","SHOT",0.00819099694490433,"wrist",8482821,0
"1719","SHOT",0.000596746976953,"snap",8482821,0
"1741","SHOT",0.00494312401860952,"wrist",8482821,0
"1742","SHOT",0.000607649562880397,"wrist",8476999,0
"1745","SHOT",0.0798061341047287,"tip-in",8476999,0
"1747","GOAL",0.128094777464867,"tip-in",8482821,1
"1750","SHOT",0.00793338380753994,"backhand",8476999,0
"1751","SHOT",0.000836074003018439,"wrist",8482821,0
"1759","SHOT",0.000423309742473066,"wrist",8476999,0
"1760","SHOT",0.00975030660629272,"wrist",8476999,0
"1763","SHOT",0.0905154049396515,"backhand",8482821,0
"1765","SHOT",0.000788820849265903,"wrist",8482821,0
"1803","SHOT",0.0268660467118025,"wrist",8482821,0
"1804","SHOT",0.0244787726551294,"wrist",8482821,0
"1806","SHOT",0.0204424373805523,"wrist",8482821,0
"1809","SHOT",0.0018386390293017,"wrist",8482821,0
"1817","SHOT",0.0503468178212643,"backhand",8476999,0
"1826","SHOT",0.00135744211729616,"wrist",8476999,0
