"","event_type","xg","secondary_type","event_goalie_id","goal","goalie_id_stan"
"168072","SHOT",-0.381520648337446,"wrist",8478009,0,43
"168075","SHOT",-0.377133986267979,"wrist",8478009,0,43
"168082","SHOT",0.866251618596671,"deflected",8475311,0,9
"168083","SHOT",-0.388010465968902,"wrist",8478009,0,43
"168086","SHOT",-0.377314013822969,"wrist",8478009,0,43
"168101","SHOT",-0.322244449863764,"wrist",8478009,0,43
"168102","SHOT",-0.260076887097848,"wrist",8478009,0,43
"168103","SHOT",0.18896473420508,"backhand",8475311,0,9
"168111","SHOT",-0.337707703621259,"wrist",8478009,0,43
"168116","SHOT",-0.367710808067084,"wrist",8478009,0,43
"168127","SHOT",-0.382043347479835,"wrist",8475311,0,9
"168128","GOAL",-0.349354217164208,"wrist",8475311,1,9
"168130","GOAL",1.46316808642468,"backhand",8475311,1,9
"168133","SHOT",-0.378256476398805,"wrist",8478009,0,43
"168135","SHOT",-0.386222156722967,"slap",8478009,0,43
"168138","SHOT",-0.389624038259956,"snap",8475311,0,9
"168141","SHOT",2.34536455349447,"tip-in",8475311,0,9
"168144","GOAL",-0.208933278655405,"wrist",8475311,1,9
"168151","SHOT",-0.357148243009589,"wrist",8478009,0,43
"168154","SHOT",-0.355932756722227,"slap",8475311,0,9
"168157","SHOT",-0.361786727035741,"slap",8475311,0,9
"168158","SHOT",-0.386953162122813,"wrist",8475311,0,9
"168160","SHOT",-0.386030021701488,"wrist",8478009,0,43
"168162","GOAL",-0.214948725202306,"backhand",8478009,1,43
"168173","SHOT",0.638345761535799,"backhand",8475852,0,17
"168177","SHOT",-0.384595965358233,"slap",8475809,0,14
"168178","SHOT",-0.360336216275939,"wrist",8475809,0,14
"168190","SHOT",-0.362569588700869,"wrist",8475852,0,17
"168191","SHOT",-0.387687993026928,"wrist",8475852,0,17
"168200","SHOT",-0.377369958668122,"wrist",8475852,0,17
"168209","SHOT",-0.290800278002901,"snap",8475852,0,17
"168212","SHOT",-0.376317702451506,"snap",8475809,0,14
"168213","GOAL",-0.210937040404386,"wrist",8475809,1,14
"168217","SHOT",-0.389086520902946,"wrist",8475852,0,17
"168218","SHOT",-0.38865203293546,"wrist",8475852,0,17
"168223","SHOT",-0.389325666465414,"slap",8475809,0,14
"168224","GOAL",-0.321998173455255,"wrist",8475809,1,14
"168231","GOAL",3.02012722618416,"tip-in",8475852,1,17
"168245","SHOT",-0.369389819024351,"wrist",8475852,0,17
"168248","SHOT",-0.332793831197504,"snap",8475852,0,17
"168253","SHOT",-0.367688627585444,"snap",8475852,0,17
"168259","SHOT",-0.360123110492832,"wrist",8475809,0,14
